time,total_energy,kinetic_energy,potential_energy,linear_momentum,angular_momentum,com_drift,shadow_energy,timestep
9.25,-1.7486665702205751e-07,1.7409553302817676e-07,-3.4896219005023427e-07,2.5433037001749034e-21,3.153846303308475e-05,4.3308417905404425e-19,-1.7486661443869208e-07,0.025000000000000001
9.5,-1.748666651488076e-07,1.7409581165411648e-07,-3.4896247680292408e-07,3.3885453540830096e-21,3.1538462997752166e-05,6.4968792844167982e-19,-1.7486662256930501e-07,0.025000000000000001
9.75,-1.7486667349045741e-07,1.7409609769728153e-07,-3.4896277118773894e-07,4.2354955955928353e-21,3.1538462962378105e-05,4.3308417905404425e-19,-1.7486663091491984e-07,0.025000000000000001
10,-1.7486668204691103e-07,1.7409639115789249e-07,-3.4896307320480351e-07,3.3885453540830096e-21,3.1538462926963007e-05,6.4968792844167982e-19,-1.7486663947544056e-07,0.025000000000000001
10.25,-1.7486669081806719e-07,1.7409669203616094e-07,-3.4896338285422813e-07,3.3931944878130488e-21,3.1538462891507631e-05,2.1662135574510998e-19,-1.7486664825076595e-07,0.025000000000000001
10.5,-1.7486669980382558e-07,1.7409700033228679e-07,-3.4896370013611237e-07,5.0855742160360797e-21,3.1538462856012431e-05,4.3308417905404425e-19,-1.7486665724079558e-07,0.025000000000000001
10.75,-1.7486670900408045e-07,1.7409731604645958e-07,-3.4896402505054003e-07,2.5416502356810243e-21,3.1538462820478091e-05,6.4968792844167982e-19,-1.7486666644542369e-07,0.025000000000000001
11,-1.74866718418725e-07,1.7409763917885632e-07,-3.4896435759758132e-07,1.6959260296447742e-21,3.1538462784905194e-05,4.3303132201118505e-19,-1.7486667586454341e-07,0.025000000000000001
11.25,-1.7486672804764906e-07,1.7409796972963984e-07,-3.489646977772889e-07,4.2359091334030199e-21,3.153846274929435e-05,4.3324271149021996e-19,-1.7486668549804452e-07,0.025000000000000001
11.5,-1.7486673789074075e-07,1.7409830769895841e-07,-3.4896504558969916e-07,4.2354955955928353e-21,3.1538462713646182e-05,4.3303132201118505e-19,-1.7486669534581508e-07,0.025000000000000001
11.75,-1.7486674794788623e-07,1.7409865308694326e-07,-3.4896540103482949e-07,4.2392159836146139e-21,3.1538462677961253e-05,6.4986406723532991e-19,-1.7486670540774124e-07,0.025000000000000001
12,-1.7486675821896728e-07,1.7409900589370962e-07,-3.489657641126769e-07,1.6992279087106844e-21,3.1538462642240309e-05,6.4954698301677763e-19,-1.7486671568370469e-07,0.025000000000000001
12.25,-1.748667687038644e-07,1.7409936611935388e-07,-3.4896613482321828e-07,1.7072494855162848e-21,3.1538462606483904e-05,2.1651566100559253e-19,-1.7486672617358589e-07,0.025000000000000001
12.5,-1.7486677940245684e-07,1.7409973376395065e-07,-3.4896651316640749e-07,3.3964966667956642e-21,3.1538462570692635e-05,4.3324271149021996e-19,-1.7486673687726402e-07,0.025000000000000001
12.75,-1.748667903146192e-07,1.7410010882755672e-07,-3.4896689914217592e-07,2.5416502356810243e-21,3.153846253486716e-05,2.1693813098976394e-19,-1.7486674779461363e-07,0.025000000000000001
13,-1.7486680144022337e-07,1.7410049131020542e-07,-3.4896729275042879e-07,2.5433037001749034e-21,3.153846249900825e-05,4.3324271149021996e-19,-1.7486675892550658e-07,0.025000000000000001
13.25,-1.7486681277914077e-07,1.741008812119058e-07,-3.4896769399104658e-07,1.73412413178557e-21,3.1538462463116469e-05,4.3303132201118505e-19,-1.7486677026981421e-07,0.025000000000000001
13.5,-1.7486682433124033e-07,1.7410127853264109e-07,-3.4896810286388142e-07,2.5416502356810243e-21,3.1538462427192379e-05,6.5011058137271634e-19,-1.7486678182740534e-07,0.025000000000000001
13.75,-1.7486683609638673e-07,1.7410168327237114e-07,-3.4896851936875787e-07,4.2381415403116855e-21,3.1538462391236718e-05,4.3387626197952788e-19,-1.7486679359814464e-07,0.025000000000000001
14,-1.7486684807444298e-07,1.741020954310268e-07,-3.4896894350546978e-07,3.3885453540830096e-21,3.1538462355250178e-05,4.3387626197952788e-19,-1.7486680558189507e-07,0.025000000000000001
14.25,-1.7486686026527009e-07,1.7410251500850958e-07,-3.4896937527377967e-07,3.3918520592895484e-21,3.1538462319233374e-05,6.5011058137271634e-19,-1.7486681777851756e-07,0.025000000000000001
14.5,-1.7486687266872612e-07,1.7410294200469149e-07,-3.489698146734176e-07,2.5679779152306955e-21,3.1538462283186973e-05,4.3303132201118505e-19,-1.748668301878701e-07,0.025000000000000001
14.75,-1.7486688528466875e-07,1.7410337641941185e-07,-3.489702617040806e-07,5.0833004713620486e-21,3.1538462247111555e-05,4.3387626197952788e-19,-1.7486684280981031e-07,0.025000000000000001
15,-1.7486689811294838e-07,1.7410381825247957e-07,-3.4897071636542794e-07,4.2354955955928353e-21,3.1538462211007927e-05,4.3324271149021996e-19,-1.7486685564418852e-07,0.025000000000000001
15.25,-1.7486691115341622e-07,1.7410426750366813e-07,-3.4897117865708435e-07,2.5608742282744272e-21,3.1538462174876781e-05,4.3387626197952788e-19,-1.7486686869085585e-07,0.025000000000000001
15.5,-1.7486692440592293e-07,1.7410472417271342e-07,-3.4897164857863635e-07,4.2470594336304086e-21,3.1538462138718619e-05,2.1693813098976394e-19,-1.7486688194966292e-07,0.025000000000000001
15.75,-1.748669378703127e-07,1.7410518825931686e-07,-3.4897212612962957e-07,5.082197683525802e-21,3.153846210253432e-05,4.3324271149021996e-19,-1.7486689542045386e-07,0.025000000000000001
16,-1.7486695154643007e-07,1.7410565976313996e-07,-3.4897261130957003e-07,4.2404553875988432e-21,3.1538462066324414e-05,4.3324271149021996e-19,-1.748669091030731e-07,0.025000000000000001
16.25,-1.7486696543411612e-07,1.7410613868380423e-07,-3.4897310411792034e-07,3.3947427841601339e-21,3.1538462030089659e-05,6.4968792844167982e-19,-1.7486692299736166e-07,0.025000000000000001
16.5,-1.748669795332087e-07,1.7410662502089106e-07,-3.4897360455409976e-07,1.7462031549538564e-21,3.1538461993830746e-05,6.4968792844167982e-19,-1.7486693710315735e-07,0.025000000000000001
16.75,-1.7486699384354465e-07,1.7410711877393826e-07,-3.4897411261748291e-07,3.3885453540830096e-21,3.1538461957548395e-05,6.4968792844167982e-19,-1.7486695142029688e-07,0.025000000000000001
17,-1.7486700836495773e-07,1.7410761994243915e-07,-3.4897462830739687e-07,5.0866074003498069e-21,3.1538461921243262e-05,4.3387626197952788e-19,-1.7486696594861399e-07,0.025000000000000001
17.25,-1.748670230972788e-07,1.7410812852584261e-07,-3.4897515162312141e-07,2.5608742282744272e-21,3.1538461884916065e-05,2.1693813098976394e-19,-1.7486698068793941e-07,0.025000000000000001
17.5,-1.7486703804033654e-07,1.7410864452354966e-07,-3.4897568256388619e-07,4.2404553875988432e-21,3.1538461848567564e-05,4.3324271149021996e-19,-1.7486699563810177e-07,0.025000000000000001
17.75,-1.7486705319395988e-07,1.7410916793491046e-07,-3.4897622112887034e-07,4.2364880185210313e-21,3.1538461812198334e-05,6.4954698301677763e-19,-1.7486701079892993e-07,0.025000000000000001
18,-1.7486706855797002e-07,1.7410969875922997e-07,-3.4897676731719999e-07,4.2434284802001673e-21,3.1538461775809209e-05,4.3387626197952788e-19,-1.7486702617024498e-07,0.025000000000000001
18.25,-1.7486708413219075e-07,1.7411023699575777e-07,-3.4897732112794852e-07,4.2562878834485848e-21,3.1538461739400806e-05,2.1693813098976394e-19,-1.7486704175187066e-07,0.025000000000000001
18.5,-1.7486709991644167e-07,1.7411078264369141e-07,-3.4897788256013308e-07,1.7235871734172925e-21,3.1538461702973815e-05,4.3324271149021996e-19,-1.7486705754362648e-07,0.025000000000000001
